ride_id,rideable_type,ride_time,start_station_name,start_station_id,end_station_name,end_station_id,member_casual
000001F70CA28603,classic_bike,00:02:35,"Peoria St & Jackson Blvd",13158,"900 W Harrison St",13028,member
0000033BAC7DD047,electric_bike,00:18:04,,,,,member
00000B15294F9057,electric_bike,00:08:17,,,,,casual
00001004F8DF01C8,classic_bike,00:07:48,"Prairie Ave & Garfield Blvd",TA1307000160,"Woodlawn Ave & 55th St",TA1307000164,casual
00001352515FD211,classic_bike,00:06:05,"Calumet Ave & 33rd St",13217,"MLK Jr Dr & 29th St",TA1307000139,member
000017F398759373,classic_bike,00:04:30,"Western Ave & Granville Ave",KA1504000129,"Maplewood Ave & Peterson Ave",KA1504000130,member
000018486CBEF63A,classic_bike,00:06:33,"Wolcott Ave & Polk St",TA1309000064,"Western Ave & Fillmore St",644,member
000018FEE543E653,electric_bike,00:08:19,"Kingsbury St & Kinzie St",KA1503000043,,,casual
000019B6351D28DF,electric_bike,00:05:05,"May St & Taylor St",13160,"Racine Ave & 15th St",13304,member
00001FE687D42F41,classic_bike,00:02:16,"Damen Ave & Chicago Ave",13132,"Wood St & Chicago Ave",637,member
00002268949A0FFC,electric_bike,00:13:25,"Campbell Ave & Augusta Blvd",410,"Larrabee St & Oak St",KA1504000116,member
0000233189BA39E3,electric_bike,00:12:19,,,"Milwaukee Ave & Fullerton Ave",428,casual
00002376582F1F10,electric_bike,00:14:14,,,"Damen Ave & Chicago Ave",13132,casual
00002447D8785F1C,classic_bike,00:28:19,"Morgan St & Lake St*",chargingstx4,"Broadway & Barry Ave",13137,member
000028BC6D9349BE,electric_bike,00:02:53,"Kingsbury St & Kinzie St",KA1503000043,"Clinton St & Washington Blvd",WL-012,member
000033796795749E,electric_bike,00:12:52,"Damen Ave & Thomas St (Augusta Blvd)",TA1307000070,"Franklin St & Lake St",TA1307000111,member
000033B708FAE6C1,classic_bike,00:05:45,"Ashland Ave & Lake St",13073,"Wood St & Chicago Ave",637,member
000033F6D13D8A2B,electric_bike,00:03:27,"Orleans St & Merchandise Mart Plaza",TA1305000022,,,member
000034ECB83D0B43,classic_bike,00:13:51,"Green St & Madison St",TA1307000120,"Eckhart Park",13289,member
0000416965E7126A,electric_bike,00:12:26,,,"Field Blvd & South Water St",15534,member
000044E96B486CB8,electric_bike,00:02:56,"Clarendon Ave & Gordon Ter",13379,,,member
00004C4C6E17E9D3,electric_bike,00:02:48,"Shields Ave & 31st St",KA1503000038,,,member
00004CA8559469E9,classic_bike,00:13:38,"Aberdeen St & Monroe St",13156,"Kingsbury St & Kinzie St",KA1503000043,member
00004E6D39E71EB4,classic_bike,00:04:23,"Southport Ave & Wrightwood Ave",TA1307000113,"Sheffield Ave & Fullerton Ave",TA1306000016,member
00004F1155C77ECE,classic_bike,00:10:22,"Clark St & Elm St",TA1307000039,"Ashland Ave & Division St",13061,member
0000516BE7DBF9FE,classic_bike,00:21:21,"Blue Island Ave & 18th St",13135,"Wabash Ave & Roosevelt Rd",TA1305000002,member
00005761EBE7BF9C,classic_bike,00:14:18,"Sedgwick St & Huron St",TA1307000062,"Clark St & Ida B Wells Dr",TA1305000009,member
00005ABAED10EF89,electric_bike,00:04:44,,,"DuSable Lake Shore Dr & North Blvd",LF-005,member
00005EC09187627C,classic_bike,00:09:53,"Wells St & Evergreen Ave",TA1308000049,"Wells St & Randolph St",TA1305000030,member
000061B34F5A10A4,classic_bike,00:07:19,"Larrabee St & Menomonee St",TA1306000007,"Sheffield Ave & Webster Ave",TA1309000033,member
00006251510B0307,classic_bike,00:04:35,"Ravenswood Ave & Lawrence Ave",TA1309000066,"Paulina St & Montrose Ave",TA1309000021,member
000062AC37B08ABE,classic_bike,00:08:54,"DuSable Lake Shore Dr & Wellington Ave",TA1307000041,"Pine Grove Ave & Waveland Ave",TA1307000150,member
0000639BE4090C5A,classic_bike,00:04:20,"Clybourn Ave & Division St",TA1307000115,"Halsted St & Clybourn Ave",331,member
00006CBA1F051C7C,classic_bike,00:06:32,"Clinton St & Roosevelt Rd",WL-008,"Clinton St & Tilden St",13037,casual
00006CC95E4CCEF4,electric_bike,00:05:51,"Racine Ave & Fullerton Ave",TA1306000026,,,member
00007300E7C55FF8,electric_bike,00:00:12,"Carpenter St & Huron St",13196,,,member
00007658222CBDF5,classic_bike,00:19:38,"Canal St & Jackson Blvd",13138,"Racine Ave & 18th St",13164,member
000079B8D745D59E,electric_bike,00:06:22,"Delano Ct & Roosevelt Rd",KA1706005007,"May St & Taylor St",13160,member
00007E9949470660,electric_bike,00:07:53,"Halsted St & Fulton St",23003,"Dearborn Pkwy & Delaware Pl",TA1307000128,member
00007E9EDF280388,electric_bike,00:16:29,"Kedzie Ave & Milwaukee Ave",13085,"Wilton Ave & Diversey Pkwy",TA1306000014,member
00007EA72314E5AB,electric_bike,00:04:35,"Columbus Dr & Randolph St",13263,"State St & Randolph St",TA1305000029,member
000087F534C91CB5,classic_bike,00:05:47,"Clark St & Lake St",KA1503000012,"Canal St & Madison St",13341,casual
0000881FF662E7F9,classic_bike,00:05:34,"Sheffield Ave & Fullerton Ave",TA1306000016,"Lincoln Ave & Diversey Pkwy",TA1307000064,casual
00008F187F284A7F,electric_bike,00:16:58,"Broadway & Argyle St",13108,,,casual
0000903D6B7C70CA,classic_bike,00:12:43,"Ada St & Washington Blvd",13353,"Western Ave & Monroe St",15667,member
0000925D38B7722C,electric_bike,00:21:00,,,,,casual
000097FDF13755CE,classic_bike,02:06:00,"McClurg Ct & Ohio St",TA1306000029,"Sheffield Ave & Webster Ave",TA1309000033,casual
00009812CDCB8D3C,classic_bike,00:13:13,"Burnham Harbor",15545,"Federal St & Polk St",SL-008,member
00009C7061F12E71,classic_bike,00:19:30,"Damen Ave & Sunnyside Ave",TA1309000012,"Clark St & Bryn Mawr Ave",KA1504000151,casual
00009E06AC9E8FF4,electric_bike,00:03:13,,,,,member
0000A44D4B58B8A0,classic_bike,00:16:11,"Orleans St & Hubbard St",636,"Dearborn St & Monroe St",TA1305000006,member
0000A516825171E9,electric_bike,00:21:57,,,,,member
