ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
000001F70CA28603,classic_bike,"2024-09-21 22:14:43","2024-09-21 22:17:18","Peoria St & Jackson Blvd",13158,"900 W Harrison St",13028,41.8776,-87.6496,41.8748,-87.6498,member
0000033BAC7DD047,electric_bike,"2024-09-02 11:52:28","2024-09-02 12:10:32",,,,,41.93,-87.63,41.91,-87.65,member
00000B15294F9057,electric_bike,"2023-12-08 17:52:37","2023-12-08 18:00:54",,,,,41.9,-87.75,41.9,-87.76,casual
00001004F8DF01C8,classic_bike,"2024-08-28 18:09:20","2024-08-28 18:17:08","Prairie Ave & Garfield Blvd",TA1307000160,"Woodlawn Ave & 55th St",TA1307000164,41.7949,-87.6187,41.7953,-87.5965,casual
00001352515FD211,classic_bike,"2024-09-10 17:01:41","2024-09-10 17:07:46","Calumet Ave & 33rd St",13217,"MLK Jr Dr & 29th St",TA1307000139,41.8349,-87.6179,41.8421,-87.617,member
000017F398759373,classic_bike,"2024-08-08 15:16:37","2024-08-08 15:21:07","Western Ave & Granville Ave",KA1504000129,"Maplewood Ave & Peterson Ave",KA1504000130,41.9942,-87.6894,41.9902,-87.6934,member
000018486CBEF63A,classic_bike,"2024-05-07 20:11:53","2024-05-07 20:18:26","Wolcott Ave & Polk St",TA1309000064,"Western Ave & Fillmore St",644,41.8713,-87.6737,41.8686,-87.6862,member
000018FEE543E653,electric_bike,"2024-08-20 09:56:22","2024-08-20 10:04:41","Kingsbury St & Kinzie St",KA1503000043,,,41.8892,-87.6385,41.88,-87.64,casual
000019B6351D28DF,electric_bike,"2024-01-12 01:14:51","2024-01-12 01:19:56","May St & Taylor St",13160,"Racine Ave & 15th St",13304,41.8694,-87.6554,41.8613,-87.6566,member
00001FE687D42F41,classic_bike,"2024-09-03 16:59:40","2024-09-03 17:01:56","Damen Ave & Chicago Ave",13132,"Wood St & Chicago Ave",637,41.8958,-87.6772,41.8956,-87.6721,member
00002268949A0FFC,electric_bike,"2024-11-02 16:09:32","2024-11-02 16:22:57","Campbell Ave & Augusta Blvd",410,"Larrabee St & Oak St",KA1504000116,41.8996,-87.6895,41.9002,-87.643,member
0000233189BA39E3,electric_bike,"2024-03-16 15:29:52","2024-03-16 15:42:11",,,"Milwaukee Ave & Fullerton Ave",428,41.94,-87.72,41.9247,-87.7005,casual
00002376582F1F10,electric_bike,"2024-07-29 20:45:04","2024-07-29 20:59:18",,,"Damen Ave & Chicago Ave",13132,41.91,-87.7,41.8958,-87.6772,casual
00002447D8785F1C,classic_bike,"2024-03-06 16:49:17","2024-03-06 17:17:36","Morgan St & Lake St*",chargingstx4,"Broadway & Barry Ave",13137,41.8855,-87.6523,41.9376,-87.6441,member
000028BC6D9349BE,electric_bike,"2023-12-15 13:42:48","2023-12-15 13:45:41","Kingsbury St & Kinzie St",KA1503000043,"Clinton St & Washington Blvd",WL-012,41.8892,-87.6385,41.8834,-87.6412,member
000033796795749E,electric_bike,"2024-07-11 07:43:59","2024-07-11 07:56:51","Damen Ave & Thomas St (Augusta Blvd)",TA1307000070,"Franklin St & Lake St",TA1307000111,41.9014,-87.6775,41.8858,-87.6355,member
000033B708FAE6C1,classic_bike,"2024-11-13 08:46:13","2024-11-13 08:51:58","Ashland Ave & Lake St",13073,"Wood St & Chicago Ave",637,41.8859,-87.6672,41.8956,-87.6721,member
000033F6D13D8A2B,electric_bike,"2024-05-13 13:33:17","2024-05-13 13:36:44","Orleans St & Merchandise Mart Plaza",TA1305000022,,,41.888,-87.6371,41.89,-87.64,member
000034ECB83D0B43,classic_bike,"2023-12-18 18:26:03","2023-12-18 18:39:54","Green St & Madison St",TA1307000120,"Eckhart Park",13289,41.8819,-87.6493,41.8964,-87.661,member
0000416965E7126A,electric_bike,"2024-03-02 14:02:07","2024-03-02 14:14:33",,,"Field Blvd & South Water St",15534,41.92,-87.63,41.8863,-87.6175,member
000044E96B486CB8,electric_bike,"2024-08-27 18:47:49","2024-08-27 18:50:45","Clarendon Ave & Gordon Ter",13379,,,41.9579,-87.6495,41.97,-87.65,member
00004C4C6E17E9D3,electric_bike,"2024-03-23 11:43:54","2024-03-23 11:46:42","Shields Ave & 31st St",KA1503000038,,,41.8384,-87.6354,41.84,-87.63,member
00004CA8559469E9,classic_bike,"2024-09-13 16:57:11","2024-09-13 17:10:49","Aberdeen St & Monroe St",13156,"Kingsbury St & Kinzie St",KA1503000043,41.8804,-87.6555,41.8892,-87.6385,member
00004E6D39E71EB4,classic_bike,"2024-03-16 10:01:26","2024-03-16 10:05:49","Southport Ave & Wrightwood Ave",TA1307000113,"Sheffield Ave & Fullerton Ave",TA1306000016,41.9288,-87.6639,41.9256,-87.6537,member
00004F1155C77ECE,classic_bike,"2024-05-04 16:56:03","2024-05-04 17:06:25","Clark St & Elm St",TA1307000039,"Ashland Ave & Division St",13061,41.903,-87.6313,41.9035,-87.6677,member
0000516BE7DBF9FE,classic_bike,"2024-10-13 16:09:05","2024-10-13 16:30:26","Blue Island Ave & 18th St",13135,"Wabash Ave & Roosevelt Rd",TA1305000002,41.8576,-87.6615,41.8672,-87.626,member
00005761EBE7BF9C,classic_bike,"2024-07-23 07:55:14","2024-07-23 08:09:32","Sedgwick St & Huron St",TA1307000062,"Clark St & Ida B Wells Dr",TA1305000009,41.8947,-87.6384,41.8759,-87.6306,member
00005ABAED10EF89,electric_bike,"2024-05-12 14:13:55","2024-05-12 14:18:39",,,"DuSable Lake Shore Dr & North Blvd",LF-005,41.92,-87.64,41.9117,-87.6268,member
00005EC09187627C,classic_bike,"2024-07-26 06:47:40","2024-07-26 06:57:33","Wells St & Evergreen Ave",TA1308000049,"Wells St & Randolph St",TA1305000030,41.9067,-87.6348,41.8843,-87.634,member
000061B34F5A10A4,classic_bike,"2024-10-22 13:28:44","2024-10-22 13:36:03","Larrabee St & Menomonee St",TA1306000007,"Sheffield Ave & Webster Ave",TA1309000033,41.9147,-87.6433,41.9215,-87.6538,member
00006251510B0307,classic_bike,"2024-09-03 21:23:46","2024-09-03 21:28:21","Ravenswood Ave & Lawrence Ave",TA1309000066,"Paulina St & Montrose Ave",TA1309000021,41.9684,-87.6742,41.9615,-87.6714,member
000062AC37B08ABE,classic_bike,"2024-09-03 17:18:41","2024-09-03 17:27:35","DuSable Lake Shore Dr & Wellington Ave",TA1307000041,"Pine Grove Ave & Waveland Ave",TA1307000150,41.9367,-87.6368,41.9495,-87.6465,member
0000639BE4090C5A,classic_bike,"2024-09-13 13:59:34","2024-09-13 14:03:54","Clybourn Ave & Division St",TA1307000115,"Halsted St & Clybourn Ave",331,41.9046,-87.6405,41.9097,-87.6481,member
00006CBA1F051C7C,classic_bike,"2024-07-17 22:23:45","2024-07-17 22:30:17","Clinton St & Roosevelt Rd",WL-008,"Clinton St & Tilden St",13037,41.8671,-87.6411,41.8759,-87.6408,casual
00006CC95E4CCEF4,electric_bike,"2024-09-01 19:11:41","2024-09-01 19:17:32","Racine Ave & Fullerton Ave",TA1306000026,,,41.9256,-87.6584,41.92,-87.64,member
00007300E7C55FF8,electric_bike,"2024-07-30 23:47:33","2024-07-30 23:47:45","Carpenter St & Huron St",13196,,,41.8946,-87.6535,41.89,-87.65,member
00007658222CBDF5,classic_bike,"2024-06-04 17:19:38","2024-06-04 17:39:16","Canal St & Jackson Blvd",13138,"Racine Ave & 18th St",13164,41.8781,-87.64,41.8582,-87.6565,member
000079B8D745D59E,electric_bike,"2024-07-26 10:54:12","2024-07-26 11:00:34","Delano Ct & Roosevelt Rd",KA1706005007,"May St & Taylor St",13160,41.8675,-87.6322,41.8695,-87.6542,member
00007E9949470660,electric_bike,"2024-10-02 07:09:16","2024-10-02 07:17:09","Halsted St & Fulton St",23003,"Dearborn Pkwy & Delaware Pl",TA1307000128,41.8868,-87.648,41.899,-87.6299,member
00007E9EDF280388,electric_bike,"2024-09-16 14:36:40","2024-09-16 14:53:09","Kedzie Ave & Milwaukee Ave",13085,"Wilton Ave & Diversey Pkwy",TA1306000014,41.9296,-87.7079,41.9324,-87.6527,member
00007EA72314E5AB,electric_bike,"2024-11-07 08:51:49","2024-11-07 08:56:24","Columbus Dr & Randolph St",13263,"State St & Randolph St",TA1305000029,41.8847,-87.6195,41.8846,-87.6278,member
000087F534C91CB5,classic_bike,"2024-07-20 07:28:55","2024-07-20 07:34:42","Clark St & Lake St",KA1503000012,"Canal St & Madison St",13341,41.886,-87.6309,41.8824,-87.6398,casual
